title,release_date,original_price,price,discount_percentage,review_summary,url,platforms,images,videos,audio
Euro Truck Simulator 2,"12 Oct, 2012","19,99€","4,99€",-75%,"Overwhelmingly Positive<br>97% of the 134,180 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227300/9a81dc3126c56637297b654f9dcac057cfd79b77/header.jpg?t=1764266628,N/A,N/A
IdleOn,"6 Nov, 2025",N/A,Free,N/A,"Very Positive<br>80% of the 19,422 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1476970/IdleOn/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1476970/header.jpg?t=1764696801,N/A,N/A
Anno 117: Pax Romana,"12 Nov, 2025",N/A,"59,99€",N/A,"Mixed<br>68% of the 3,578 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3274580/Anno_117_Pax_Romana/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3274580/b3d3313f3ed4ccc363e7ab1f1b969837530f2073/header_alt_assets_2.jpg?t=1764100083,N/A,N/A
Battlefield™ 6,"10 Oct, 2025",N/A,"69,99€",N/A,"Mostly Positive<br>73% of the 119,282 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2807960/Battlefield_6/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2807960/c12d12ce3c7d217398d3fcad77427bfc9d57c570/header.jpg?t=1764700003,N/A,N/A
Total War: WARHAMMER III,"16 Feb, 2022","59,99€","14,99€",-75%,"Mixed<br>68% of the 50,608 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1142710/header.jpg?t=1764870033,N/A,N/A
Cyberpunk 2077,"9 Dec, 2020","59,99€","20,99€",-65%,"Very Positive<br>88% of the 357,117 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1,"Windows, Mac",N/A,N/A,N/A
Clair Obscur: Expedition 33,"24 Apr, 2025","49,99€","39,99€",-20%,"Overwhelmingly Positive<br>97% of the 80,804 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_7000_150_1,Windows,N/A,N/A,N/A
UNBEATABLE,"9 Dec, 2025","27,99€","25,19€",-10%,N/A,https://store.steampowered.com/app/2240620/UNBEATABLE/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2240620/a3fe80f8848d0583be61f24292799e7f796e6319/header.jpg?t=1765302357,N/A,N/A
Mount & Blade II: Bannerlord,"25 Oct, 2022","49,99€","24,99€",-50%,"Very Positive<br>87% of the 93,694 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/261550/header.jpg?t=1764252300,N/A,N/A
Star Wars Outlaws,"21 Nov, 2024","69,99€","20,99€",-70%,"Mostly Positive<br>72% of the 4,499 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2842040/Star_Wars_Outlaws/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2842040/header.jpg?t=1748385237,N/A,N/A
Where Winds Meet,"14 Nov, 2025",N/A,Free,N/A,"Very Positive<br>88% of the 44,718 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3564740/6d94b048393d5358690a04a7db99f2c9739c703c/header.jpg?t=1763157550,N/A,N/A
Jurassic World Evolution 3,"21 Oct, 2025","59,99€","47,99€",-20%,"Very Positive<br>93% of the 3,548 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2958130/Jurassic_World_Evolution_3/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2958130/e2ee818c1321037457a44e4868e16c0841be7e5e/header_alt_assets_0.jpg?t=1765290696,N/A,N/A
Rust,"8 Feb, 2018","39,99€","19,99€",-50%,"Very Positive<br>86% of the 506,430 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1,"Windows, Mac",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/header.jpg?t=1761667247,N/A,N/A
Call of Duty®: Black Ops 7,"13 Nov, 2025",N/A,"79,99€",N/A,"Mostly Negative<br>35% of the 1,414 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3606480/Call_of_Duty_Black_Ops_7/?snr=1_7_7_7000_150_1,Windows,N/A,N/A,N/A
Le Mans Ultimate,"22 Jul, 2025",N/A,"39,99€",N/A,"Mostly Positive<br>77% of the 4,466 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2399420/Le_Mans_Ultimate/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2399420/f510badbf573eecdf529ae735a49331f4b9919be/header.jpg?t=1765276010,N/A,N/A
RV There Yet?,"21 Oct, 2025","7,79€","7,01€",-10%,"Very Positive<br>91% of the 20,457 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3949040/RV_There_Yet/?snr=1_7_7_7000_150_1,Windows,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3949040/cae24b4ed7f4531be51f0d63f785b7d253f92dc3/header.jpg?t=1761681404,N/A,N/A
Euro Truck Simulator 2 - Nordic Horizons,"27 Nov, 2025",N/A,"17,99€",N/A,Very Positive<br>92% of the 867 user reviews for this game are positive.,https://store.steampowered.com/app/2780810/Euro_Truck_Simulator_2__Nordic_Horizons/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2780810/755876b6f5502e6f99963003277519a3b96ba55b/header.jpg?t=1764346665,N/A,N/A
The Wandering Village,"17 Jul, 2025","29,99€","14,99€",-50%,"Very Positive<br>92% of the 3,511 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1121640/The_Wandering_Village/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1121640/43221e9a5309b5fac2e5960b0d5132d508edb7eb/header_alt_assets_2.jpg?t=1765198691,N/A,N/A
